lab,grp,metric,year,v,pct
CAPC 2015,Higher resp.,Gross CO₂,2045,8033.270291865245,-73.10157609740823
CAPC 2015,Higher resp.,Net CO₂,2045,5722.41007329727,-80.5333517399865
CAPC 2015,Lower resp.,Gross CO₂,2045,12209.306894502828,-4.782661918424247
CAPC 2015,Lower resp.,Net CO₂,2045,9777.031566029245,-20.840864563345065
CAPC 2015,World,Gross CO₂,2045,20875.34899695906,-51.82907843459288
CAPC 2015,World,Net CO₂,2045,16184.4709008592,-61.82484745547055
CAPC 2025,Higher resp.,Gross CO₂,2045,9398.060540050501,-68.53174272942297
CAPC 2025,Higher resp.,Net CO₂,2045,7189.022769102912,-75.54418928619052
CAPC 2025,Lower resp.,Gross CO₂,2045,10864.19296469169,-15.27286983274333
CAPC 2025,Lower resp.,Net CO₂,2045,8453.15015393248,-31.55958908565928
CAPC 2025,World,Gross CO₂,2045,20900.04310765629,-51.772095527638974
CAPC 2025,World,Net CO₂,2045,16327.09660792918,-61.4884287886188
ECPC 1990,Higher resp.,Gross CO₂,2045,8542.162934222486,-71.39761127141495
ECPC 1990,Higher resp.,Net CO₂,2045,6269.531562305926,-78.67213916598278
ECPC 1990,Lower resp.,Gross CO₂,2045,12862.689267846496,0.31290418346623383
ECPC 1990,Lower resp.,Net CO₂,2045,10538.206363182418,-14.678059579859948
ECPC 1990,World,Gross CO₂,2045,22043.39728374661,-49.13374805158238
ECPC 1990,World,Net CO₂,2045,17497.52108883458,-58.72768774406334
ECPC 2015,Higher resp.,Gross CO₂,2045,11087.050177663106,-62.876367323270664
ECPC 2015,Higher resp.,Net CO₂,2045,8952.219897735939,-69.54609794416484
ECPC 2015,Lower resp.,Gross CO₂,2045,11188.959030399841,-12.740100319849901
ECPC 2015,Lower resp.,Net CO₂,2045,8800.463433745937,-28.74758845233535
ECPC 2015,World,Gross CO₂,2045,22910.42910026227,-47.133028368564275
ECPC 2015,World,Net CO₂,2045,18433.38768552498,-56.520210569873555
ECPC 2015*,Higher resp.,Gross CO₂,2045,9509.03151999788,-68.16016996377941
ECPC 2015*,Higher resp.,Net CO₂,2045,7314.879586553577,-75.11604618476035
ECPC 2015*,Lower resp.,Gross CO₂,2045,12114.016236811094,-5.525809981442853
ECPC 2015*,Lower resp.,Net CO₂,2045,9770.844943376182,-20.89095417358944
ECPC 2015*,World,Gross CO₂,2045,22265.49764251254,-48.62124026245173
ECPC 2015*,World,Net CO₂,2045,17772.14617707956,-58.07991527744842
ECPC 2025,Higher resp.,Gross CO₂,2045,10181.14566661585,-65.909677876520007
ECPC 2025,Higher resp.,Net CO₂,2045,8061.338544651442,-72.5767220552936
ECPC 2025,Lower resp.,Gross CO₂,2045,11551.985396118165,-9.908948273644015
ECPC 2025,Lower resp.,Net CO₂,2045,9180.372012578435,-25.671681982948503
ECPC 2025,World,Gross CO₂,2045,22377.35537320627,-48.36312290247289
ECPC 2025,World,Net CO₂,2045,17930.46093429049,-57.70649003274323
Source,Higher resp.,Gross CO₂,2045,13009.027332274041,-56.44086168764262
Source,Higher resp.,Net CO₂,2045,10880.314001584733,-62.987055643618305
Source,Lower resp.,Gross CO₂,2045,9565.754824149535,-25.399064912799872
Source,Lower resp.,Net CO₂,2045,7145.524970296317,-42.146696052919964
Source,World,Gross CO₂,2045,23195.30191668369,-46.475669964738216
Source,World,Net CO₂,2045,18700.13414996902,-55.891021822632844
CAPC 1990,Higher resp.,Gross CO₂,2050,7060.127092483013,-76.36002718194528
CAPC 1990,Higher resp.,Net CO₂,2050,4171.211829147608,-85.81025958364486
CAPC 1990,Lower resp.,Gross CO₂,2050,10956.285900992958,-14.55466000097385
CAPC 1990,Lower resp.,Net CO₂,2050,7897.653762170505,-36.05713149544798
CAPC 1990,World,Gross CO₂,2050,18634.11051873587,-57.000849357301206
CAPC 1990,World,Net CO₂,2050,12724.71319575482,-69.98555774180181
CAPC 2015,Higher resp.,Gross CO₂,2050,5589.253373064646,-81.28506808990042
CAPC 2015,Higher resp.,Net CO₂,2050,2572.8259387702124,-91.24769162944311
CAPC 2015,Lower resp.,Gross CO₂,2050,11441.687624590766,-10.769133072987314
CAPC 2015,Lower resp.,Net CO₂,2050,8302.634963468434,-32.77822607856983
CAPC 2015,World,Gross CO₂,2050,17666.1679542291,-59.23442568512534
CAPC 2015,World,Net CO₂,2050,11531.63910463421,-72.79972359896537
CAPC 2025,Higher resp.,Gross CO₂,2050,6897.181166607144,-76.90563170266554
CAPC 2025,Higher resp.,Net CO₂,2050,4042.9594948179,-86.24655181872467
CAPC 2025,Lower resp.,Gross CO₂,2050,10183.463377153581,-20.581710034633193
CAPC 2025,Lower resp.,Net CO₂,2050,7053.160239771578,-42.89452141932075
CAPC 2025,World,Gross CO₂,2050,17714.3741129403,-59.123187540527844
CAPC 2025,World,Net CO₂,2050,11753.73675870119,-72.27585032094929
ECPC 1990,Higher resp.,Gross CO₂,2050,6212.889333066386,-79.19689928646638
ECPC 1990,Higher resp.,Net CO₂,2050,3281.9191283238342,-88.83547937485058
ECPC 1990,Lower resp.,Gross CO₂,2050,11898.796865843206,-7.204252155451951
ECPC 1990,Lower resp.,Net CO₂,2050,8906.345745901217,-27.890318816695835
ECPC 1990,World,Gross CO₂,2050,18730.93337123204,-56.77742573770035
ECPC 1990,World,Net CO₂,2050,12848.10894994077,-69.69449776410765
ECPC 2015,Higher resp.,Gross CO₂,2050,8329.989549963851,-72.10804792090943
ECPC 2015,Higher resp.,Net CO₂,2050,5607.752446575923,-80.9233971336446
ECPC 2015,Lower resp.,Gross CO₂,2050,10006.73943167559,-21.95993599038045
ECPC 2015,Lower resp.,Net CO₂,2050,6907.455397309137,-44.074211725153035
ECPC 2015,World,Gross CO₂,2050,18957.57285608686,-56.254443685991596
