ssp,region,year,driver,value
SSP1,Sub-Sahara,2100,"Urban share
(%)",89.66285412777123
SSP1,W. Europe,2020,"GDP
(tn US$)",17.22165493292
SSP1,W. Europe,2020,"GDP/cap
(000 US$)",33.93863382827778
SSP1,W. Europe,2020,"Population
(bn)",0.5074351260000001
SSP1,W. Europe,2020,"Urban share
(%)",78.86846633198981
SSP1,W. Europe,2025,"GDP
(tn US$)",19.826374829600002
SSP1,W. Europe,2025,"GDP/cap
(000 US$)",38.62120884046251
SSP1,W. Europe,2025,"Population
(bn)",0.5133545899999999
SSP1,W. Europe,2025,"Urban share
(%)",80.09303009470901
SSP1,W. Europe,2030,"GDP
(tn US$)",21.580051591398288
SSP1,W. Europe,2030,"GDP/cap
(000 US$)",41.65725851198418
SSP1,W. Europe,2030,"Population
(bn)",0.518038209
SSP1,W. Europe,2030,"Urban share
(%)",82.33348653954467
SSP1,W. Europe,2035,"GDP
(tn US$)",23.858142346414947
SSP1,W. Europe,2035,"GDP/cap
(000 US$)",45.6793723224042
SSP1,W. Europe,2035,"Population
(bn)",0.522295757
SSP1,W. Europe,2035,"Urban share
(%)",84.56492697969082
SSP1,W. Europe,2040,"GDP
(tn US$)",26.16275151417879
SSP1,W. Europe,2040,"GDP/cap
(000 US$)",49.709412756187625
SSP1,W. Europe,2040,"Population
(bn)",0.526313832
SSP1,W. Europe,2040,"Urban share
(%)",86.78741922365057
SSP1,W. Europe,2045,"GDP
(tn US$)",28.78102022873149
SSP1,W. Europe,2045,"GDP/cap
(000 US$)",54.27697690771221
SSP1,W. Europe,2045,"Population
(bn)",0.5302620350000001
SSP1,W. Europe,2045,"Urban share
(%)",88.39801085031668
SSP1,W. Europe,2050,"GDP
(tn US$)",31.3615206613103
SSP1,W. Europe,2050,"GDP/cap
(000 US$)",58.75106038097974
SSP1,W. Europe,2050,"Population
(bn)",0.5338034830000001
SSP1,W. Europe,2050,"Urban share
(%)",89.88042552247077
SSP1,W. Europe,2055,"GDP
(tn US$)",33.85790432853196
SSP1,W. Europe,2055,"GDP/cap
(000 US$)",63.22994479544457
SSP1,W. Europe,2055,"Population
(bn)",0.535472622
SSP1,W. Europe,2055,"Urban share
(%)",91.23360611149415
SSP1,W. Europe,2060,"GDP
(tn US$)",36.241099294956086
SSP1,W. Europe,2060,"GDP/cap
(000 US$)",67.7364822874791
SSP1,W. Europe,2060,"Population
(bn)",0.5350307260000001
SSP1,W. Europe,2060,"Urban share
(%)",92.45673160102957
SSP1,W. Europe,2070,"GDP
(tn US$)",40.70735972470239
SSP1,W. Europe,2070,"GDP/cap
(000 US$)",76.90813427440862
SSP1,W. Europe,2070,"Population
(bn)",0.5292984949999999
SSP1,W. Europe,2070,"Urban share
(%)",94.51435357669021
SSP1,W. Europe,2080,"GDP
(tn US$)",44.285432323355174
SSP1,W. Europe,2080,"GDP/cap
(000 US$)",85.17955907219707
SSP1,W. Europe,2080,"Population
(bn)",0.519906804
SSP1,W. Europe,2080,"Urban share
(%)",96.0788946628654
SSP1,W. Europe,2090,"GDP
(tn US$)",46.54276126183807
SSP1,W. Europe,2090,"GDP/cap
(000 US$)",92.70742917988036
SSP1,W. Europe,2090,"Population
(bn)",0.5020391750000001
SSP1,W. Europe,2090,"Urban share
(%)",97.21456700460278
SSP1,W. Europe,2100,"GDP
(tn US$)",47.27224250417466
SSP1,W. Europe,2100,"GDP/cap
(000 US$)",99.68751503529288
SSP1,W. Europe,2100,"Population
(bn)",0.474204242
SSP1,W. Europe,2100,"Urban share
(%)",98.0155863448265
SSP2,China,2020,"GDP
(tn US$)",24.54866823412
SSP2,China,2020,"GDP/cap
(000 US$)",17.14891334383014
SSP2,China,2020,"Population
(bn)",1.4314999290000001
SSP2,China,2020,"Urban share
(%)",61.07822761156421
SSP2,China,2025,"GDP
(tn US$)",31.41083949137999
SSP2,China,2025,"GDP/cap
(000 US$)",21.905819319028158
SSP2,China,2025,"Population
(bn)",1.4339038880000001
SSP2,China,2025,"Urban share
(%)",62.974294957012475
SSP2,China,2030,"GDP
(tn US$)",37.61992735623432
SSP2,China,2030,"GDP/cap
(000 US$)",26.42152799372043
SSP2,China,2030,"Population
(bn)",1.423836175
SSP2,China,2030,"Urban share
(%)",64.7767828153404
SSP2,China,2035,"GDP
(tn US$)",43.452364912334716
SSP2,China,2035,"GDP/cap
(000 US$)",30.898710497487127
SSP2,China,2035,"Population
(bn)",1.406284088
SSP2,China,2035,"Urban share
(%)",66.48900552294167
SSP2,China,2040,"GDP
(tn US$)",47.93101023026145
SSP2,China,2040,"GDP/cap
(000 US$)",34.65806327454792
SSP2,China,2040,"Population
(bn)",1.382968513
SSP2,China,2040,"Urban share
(%)",68.11370088661592
SSP2,China,2045,"GDP
(tn US$)",52.381733358594325
SSP2,China,2045,"GDP/cap
(000 US$)",38.729990176367934
SSP2,China,2045,"Population
(bn)",1.3524850670000002
SSP2,China,2045,"Urban share
(%)",69.65075232190715
SSP2,China,2050,"GDP
(tn US$)",56.20409725036556
SSP2,China,2050,"GDP/cap
(000 US$)",42.80822650669782
SSP2,China,2050,"Population
(bn)",1.3129274869999998
SSP2,China,2050,"Urban share
(%)",71.10216115704188
SSP2,China,2055,"GDP
(tn US$)",59.7558254507198
SSP2,China,2055,"GDP/cap
(000 US$)",47.26278852011845
SSP2,China,2055,"Population
(bn)",1.264331355
SSP2,China,2055,"Urban share
(%)",72.47201380682678
SSP2,China,2060,"GDP
(tn US$)",63.059950056777936
SSP2,China,2060,"GDP/cap
(000 US$)",52.123992556454816
SSP2,China,2060,"Population
(bn)",1.209806597
SSP2,China,2060,"Urban share
(%)",73.76582649843579
SSP2,China,2070,"GDP
(tn US$)",68.80788940242144
SSP2,China,2070,"GDP/cap
(000 US$)",62.66975593358887
SSP2,China,2070,"Population
(bn)",1.0979441099999998
SSP2,China,2070,"Urban share
(%)",76.14210215328538
SSP2,China,2080,"GDP
(tn US$)",72.11486321166753
SSP2,China,2080,"GDP/cap
(000 US$)",72.65600777317844
SSP2,China,2080,"Population
(bn)",0.992551964
SSP2,China,2080,"Urban share
(%)",78.26227046782913
SSP2,China,2090,"GDP
(tn US$)",73.98742317939329
SSP2,China,2090,"GDP/cap
(000 US$)",82.85565648367533
SSP2,China,2090,"Population
(bn)",0.892967678000001
SSP2,China,2090,"Urban share
(%)",80.15485141236547
SSP2,China,2100,"GDP
(tn US$)",75.1066792739417
SSP2,China,2100,"GDP/cap
(000 US$)",93.24388069375165
SSP2,China,2100,"Population
(bn)",0.805486416000001
