model,scenario_set,variant,region,variable,unit,year,value,state,principle,start,src,ratio,grp,lab,ypos
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,CHN,Price|Carbon,US$2010/t CO2,2030,88.86800142605132,Lowest-f. (L),ECPC,2025,38.00703055169213,2.3381990157106545,Higher resp.,ECPC 2025,2.15
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,EEU,Price|Carbon,US$2010/t CO2,2030,88.86800142605132,Lowest-f. (L),ECPC,2025,38.00703055169213,2.3381990157106545,Higher resp.,ECPC 2025,2.15
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,FSU,Price|Carbon,US$2010/t CO2,2030,30.15168839874438,Lowest-f. (L),ECPC,2025,38.00703055169213,0.7933187086988036,Higher resp.,ECPC 2025,2.15
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,LAM,Price|Carbon,US$2010/t CO2,2030,40.6633756761593,Lowest-f. (L),ECPC,2025,38.00703055169213,1.0698908882359108,Lower resp.,ECPC 2025,1.85
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,MEA,Price|Carbon,US$2010/t CO2,2030,58.79862670545303,Lowest-f. (L),ECPC,2025,38.00703055169213,1.5470460557417902,Higher resp.,ECPC 2025,2.15
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,NAM,Price|Carbon,US$2010/t CO2,2030,88.86800142605132,Lowest-f. (L),ECPC,2025,38.00703055169213,2.3381990157106545,Higher resp.,ECPC 2025,2.15
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,PAS,Price|Carbon,US$2010/t CO2,2030,32.68706984023865,Lowest-f. (L),ECPC,2025,38.00703055169213,0.8600269309590505,Lower resp.,ECPC 2025,1.85
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,PAO,Price|Carbon,US$2010/t CO2,2030,30.25988695770023,Lowest-f. (L),ECPC,2025,38.00703055169213,0.7961655124976085,Higher resp.,ECPC 2025,2.15
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,RCPA,Price|Carbon,US$2010/t CO2,2030,86.00982108867404,Lowest-f. (L),ECPC,2025,38.00703055169213,2.262997657017558,Higher resp.,ECPC 2025,2.15
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,SAS,Price|Carbon,US$2010/t CO2,2030,20.66566550927235,Lowest-f. (L),ECPC,2025,38.00703055169213,0.5437327044312407,Lower resp.,ECPC 2025,1.85
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,AFR,Price|Carbon,US$2010/t CO2,2030,19.91773079748305,Lowest-f. (L),ECPC,2025,38.00703055169213,0.5240538528889698,Lower resp.,ECPC 2025,1.85
SSP_SSP2_v6.5_ES,800fm_ecpc2025,L. SSP2-2C-ECPC2025,WEU,Price|Carbon,US$2010/t CO2,2030,71.32453568069079,Lowest-f. (L),ECPC,2025,38.00703055169213,1.8766142643973356,Higher resp.,ECPC 2025,2.15
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,CHN,Price|Carbon,US$2010/t CO2,2030,83.50560949317278,Lowest-f. (L),CAPC,1990,38.00703055169213,2.19710954213062,Higher resp.,CAPC 1990,6.15
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,EEU,Price|Carbon,US$2010/t CO2,2030,83.50560949317278,Lowest-f. (L),CAPC,1990,38.00703055169213,2.19710954213062,Higher resp.,CAPC 1990,6.15
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,FSU,Price|Carbon,US$2010/t CO2,2030,83.50560949317278,Lowest-f. (L),CAPC,1990,38.00703055169213,2.19710954213062,Higher resp.,CAPC 1990,6.15
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,LAM,Price|Carbon,US$2010/t CO2,2030,83.50560949317278,Lowest-f. (L),CAPC,1990,38.00703055169213,2.19710954213062,Lower resp.,CAPC 1990,5.85
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,MEA,Price|Carbon,US$2010/t CO2,2030,83.50560949317278,Lowest-f. (L),CAPC,1990,38.00703055169213,2.19710954213062,Higher resp.,CAPC 1990,6.15
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,NAM,Price|Carbon,US$2010/t CO2,2030,83.50560949317278,Lowest-f. (L),CAPC,1990,38.00703055169213,2.19710954213062,Higher resp.,CAPC 1990,6.15
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,PAS,Price|Carbon,US$2010/t CO2,2030,83.50560949317278,Lowest-f. (L),CAPC,1990,38.00703055169213,2.19710954213062,Lower resp.,CAPC 1990,5.85
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,PAO,Price|Carbon,US$2010/t CO2,2030,83.50560949317278,Lowest-f. (L),CAPC,1990,38.00703055169213,2.19710954213062,Higher resp.,CAPC 1990,6.15
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,RCPA,Price|Carbon,US$2010/t CO2,2030,32.98009314337475,Lowest-f. (L),CAPC,1990,38.00703055169213,0.8677366441064002,Higher resp.,CAPC 1990,6.15
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,SAS,Price|Carbon,US$2010/t CO2,2030,14.32238672246564,Lowest-f. (L),CAPC,1990,38.00703055169213,0.3768351937672748,Lower resp.,CAPC 1990,5.85
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,AFR,Price|Carbon,US$2010/t CO2,2030,14.32238672246564,Lowest-f. (L),CAPC,1990,38.00703055169213,0.3768351937672748,Lower resp.,CAPC 1990,5.85
SSP_SSP2_v6.5_ES,800fm_capc1990,L. SSP2-2C-CAPC1990,WEU,Price|Carbon,US$2010/t CO2,2030,83.50560949317278,Lowest-f. (L),CAPC,1990,38.00703055169213,2.19710954213062,Higher resp.,CAPC 1990,6.15
SSP_SSP2_v6.5_ES,800fm_capc2015,L. SSP2-2C-CAPC2015,CHN,Price|Carbon,US$2010/t CO2,2030,141.1226043908212,Lowest-f. (L),CAPC,2015,38.00703055169213,3.713065776051221,Higher resp.,CAPC 2015,3.15
SSP_SSP2_v6.5_ES,800fm_capc2015,L. SSP2-2C-CAPC2015,EEU,Price|Carbon,US$2010/t CO2,2030,141.1226043908217,Lowest-f. (L),CAPC,2015,38.00703055169213,3.713065776051234,Higher resp.,CAPC 2015,3.15
SSP_SSP2_v6.5_ES,800fm_capc2015,L. SSP2-2C-CAPC2015,FSU,Price|Carbon,US$2010/t CO2,2030,60.97322859190998,Lowest-f. (L),CAPC,2015,38.00703055169213,1.6042618354249556,Higher resp.,CAPC 2015,3.15
SSP_SSP2_v6.5_ES,800fm_capc2015,L. SSP2-2C-CAPC2015,LAM,Price|Carbon,US$2010/t CO2,2030,140.033211921254,Lowest-f. (L),CAPC,2015,38.00703055169213,3.684402856224176,Lower resp.,CAPC 2015,2.85
